                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Live Playback Score                            , 65          , 64.8        , 66.6        , 66.2        , 66.5                , 66.3                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Export Score                                   , 96.5        , 96.7        , 94.9        , 97.9        , 97.8                , 97.6                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Advanced - Live Playback (Half Res)            , 59.94       , 59.94       , 59.94       , 59.94       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Advanced - Live Playback (Full Res)            , 56.94       , 56.91       , 56.94       , 56.91       , 56.98               , 56.97               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Extreme - Live Playback (Half Res)             , 56.22       , 56.21       , 56.21       , 56.18       , 56.25               , 56.18               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Extreme - Live Playback (Full Res)             , 19.92       , 19.88       , 19.92       , 19.85       , 19.85               , 19.86               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Advanced - Export (ProRes 422HQ UHD)           , 47.86       , 47.87       , 48.06       , 48.06       , 48.02               , 48.03               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Extreme - Export (ProRes 422HQ UHD)            , 17.23       , 17.19       , 17.22       , 17.27       , 17.22               , 17.25               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Live Playback Score                            , 80.5        , 80.5        , 80.5        , 80.4        , 80.5                , 80.5                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy GPU Effects (59.94FPS)             , Export Score                                   , 54.3        , 54.3        , 54.5        , 54.5        , 54.4                , 54.5                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Advanced - Live Playback (Half Res)            , 59.94       , 59.94       , 59.94       , 59.94       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Advanced - Live Playback (Full Res)            , 25.15       , 28.69       , 25.72       , 30.18       , 33.35               , 30.79               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Extreme - Live Playback (Half Res)             , 54.45       , 54.35       , 53.71       , 53.68       , 54.19               , 53.71               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Extreme - Live Playback (Full Res)             , 8.42        , 12.52       , 8.69        , 9.16        , 8.82                , 8.43                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Advanced - Export (ProRes 422HQ UHD)           , 27.7        , 27.9        , 27.3        , 27.77       , 27.23               , 27.31               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Extreme - Export (ProRes 422HQ UHD)            , 7.57        , 7.63        , 7.55        , 7.61        , 7.55                , 7.55                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Live Playback Score                            , 61.7        , 64.9        , 61.8        , 63.8        , 65.2                , 63.8                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K Heavy CPU Effects (59.94FPS)             , Export Score                                   , 29.4        , 29.6        , 29.1        , 29.5        , 29                  , 29.1                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Overall Score                               ,                                                , 1041        , 1067        , 1056        , 1064        , 985                 , 1082                , 9.25%   , "WSL2 gave both the highest and lowest score, showing more variance than the other test modes... but the low score could have been an aberation"
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , GPU Score                                   ,                                                , 101.2       , 101.3       , 100.8       , 100.9       , 94.1                , 100.8               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , RAM Preview Score                           ,                                                , 99          , 99.9        , 100.9       , 99.8        , 89.2                , 102.5               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Render Score                                ,                                                , 96.3        , 97.4        , 97.8        , 97.9        , 91                  , 100.1               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Tracking Score                              ,                                                , 117         , 122.7       , 118.2       , 121.5       , 115.2               , 121.9               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Phone Composite Project                     , RAM Preview Half Res                           , 14.05       , 14.18       , 14.4        , 14.46       , 14.56               , 14.66               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Phone Composite Project                     , RAM Preview Full Res                           , 4.28        , 4.37        , 4.55        , 4.59        , 4.6                 , 4.56                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Phone Composite Project                     , Render                                         , 3.55        , 3.64        , 3.64        , 3.73        , 3.68                , 3.64                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Polygon Project                             , RAM Preview Half Res                           , 16.85       , 16.87       , 16.91       , 16.64       , 16.98               , 17.19               ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Polygon Project                             , RAM Preview Full Res                           , 6.42        , 6.39        , 6.44        , 6.46        , 6.45                , 6.45                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Polygon Project                             , Render                                         , 5.71        , 5.68        , 5.59        , 5.6         , 5.62                , 5.61                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Cloud Lightning Project                     , RAM Preview Half Res                           , 4.73        , 4.72        , 4.75        , 4.74        , 4.74                , 4.75                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Cloud Lightning Project                     , RAM Preview Full Res                           , 1.39        , 1.4         , 1.39        , 1.41        , 1.35                , 1.41                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Cloud Lightning Project                     , Render                                         , 1.29        , 1.29        , 1.25        , 1.28        , 1.2                 , 1.29                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Glitch Project                              , RAM Preview Half Res                           , 9.18        , 9.29        , 9.34        , 9.34        , 7.8                 , 9.32                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Glitch Project                              , RAM Preview Full Res                           , 3.23        , 3.23        , 3.24        , 3.26        , 2.99                , 3.26                ,         , 
PugetBench for After Effects 0.9 (After Effects 17.1x72)     , Glitch Project                              , Render                                         , 3.01        , 3.02        , 3.05        , 3.02        , 2.75                , 3.03                ,         , 
